"","m","sd"
"430",9e-04,0.0299879963984391
"431",0,0
"432",0,0
"433",0.0011,0.0331496589724389
"434",0,0
"435",0,0
"436",0.0015,0.038702710369934
"437",0,0
"438",0,0
"439",0.0017,0.0411980549052112
"440",0,0
"441",0,0
"442",0.0014,0.037392242751429
"443",0,0
"444",0,0
"445",0.0016,0.0399699857390017
"446",0,0
"447",0,0
"448",0.0029,0.0537761953648526
"449",0,0
"450",0,0
"451",0.0044,0.0661897130059557
"452",0,0
"453",0,0
"454",0.0034,0.0582132190991684
"455",0,0
"456",0,0
"457",0.0046,0.0676705100453143
"458",0,0
"459",0,0
"460",0.0083,0.0907300016164407
"461",0,0
"462",0,0
"463",0.0099,0.0990099504950371
"464",0,0
"465",0,0
"466",0.0175,0.131131497158214
"467",0,0
"468",0,0
"469",0.0013,0.0360338707882514
"470",0,0
"471",0,0
"472",9e-04,0.0299879963984391
"473",0,0
"474",0,0
"475",0.0014,0.037392242751429
"476",0,0
"477",0,0
"478",8e-04,0.0282743690291119
"479",0,0
"480",0,0
"481",0.0011,0.0331496589724389
"482",0,0
"483",0,0
"484",0.0017,0.0411980549052112
"485",0,0
"486",0,0
"487",0.0019,0.0435497377485307
"488",0,0
"489",0,0
"490",0.0025,0.049939957948921
"491",0,0
"492",0,0
"493",5e-04,0.022356206744392
"494",0,0
"495",0,0
"496",5e-04,0.022356206744392
"497",0,0
"498",0,0
"499",4e-04,0.0199969994748912
"500",0,0
"501",0,0
"502",4e-04,0.0199969994748912
"503",0,0
"504",0,0
"505",6e-04,0.024488772325231
"506",0,0
"507",0,0
"508",0.0015,0.038702710369934
"509",0,0
"510",0,0
"511",0.0016,0.0399699857390017
"512",0,0
"513",0,0
"514",0.001,0.0316085417251571
"515",0,0
"516",0,0
"517",0.0027,0.0518939235164368
"518",0,0
"519",0,0
"520",0.0282,0.165552108866287
"521",0.0061,0.0778678132454865
"522",0,0
"523",0,0
"524",0,0
"525",0,0
"526",0,0
"527",0,0
"528",0,0
"529",0,0
"530",0,0
"531",0,0
"532",1e-04,0.01
"533",0,0
"534",0,0
"535",5e-04,0.022356206744392
"536",0,0
"537",0,0
"538",4e-04,0.0199969994748912
"539",0,0
"540",0,0
"541",5e-04,0.022356206744392
"542",0,0
"543",0,0
"544",6e-04,0.024488772325231
"545",0,0
"546",0,0
"547",2e-04,0.0141414284285499
"548",0,0
"549",0,0
"550",2e-04,0.0141414284285499
"551",0,0
"552",0,0
"553",1e-04,0.01
"554",0,0
"555",0,0
"556",0,0
"557",0,0
"558",0,0
"559",1e-04,0.01
"560",0,0
"561",0,0
"562",0.0029,0.0537761953648526
"563",0,0
"564",0,0
"565",0.002,0.044678849805719
"566",0,0
"567",0,0
"568",0.0037,0.0607180258890783
"569",0,0
"570",0,0
"571",0.0036,0.0598948974443899
"572",0,0
"573",0,0
"574",0.0043,0.0654365203370364
"575",0,0
"576",0,0
"577",0.0021,0.0457799036691647
"578",0,0
"579",0,0
"580",0.0023,0.0479055267578741
"581",0,0
"582",0,0
"583",0.0019,0.0435497377485307
"584",0,0
"585",0,0
"586",0.0024,0.0489334185188895
"587",0,0
"588",0,0
"589",0.0018,0.0423903254760965
"590",0,0
"591",0,0
"592",0.005,0.0705372068468477
"593",0,0
"594",0,0
"595",0.0015,0.038702710369934
"596",0,0
"597",0,0
"598",0.002,0.044678849805719
"599",0,0
"600",0,0
"601",0.0031,0.0555940560663367
"602",0,0
"603",0,0
"604",0.0049,0.0698317810725516
"605",0,0
"606",0,0
"607",0.0048,0.0691190114496321
"608",0,0
"609",0,0
"610",0.0046,0.0676705100453143
"611",0,0
"612",0,0
"613",0.0109,0.103837701374899
"614",0,0
"615",0,0
"616",0.0018,0.0423903254760965
"617",0,0
"618",0,0
"619",4e-04,0.0199969994748912
"620",0,0
"621",0,0
"622",4e-04,0.0199969994748912
"623",0,0
"624",0,0
"625",7e-04,0.0264495738717243
"626",0,0
"627",0,0
"628",7e-04,0.0264495738717243
"629",0,0
"630",0,0
"631",0.0017,0.0411980549052112
"632",0,0
"633",0,0
"634",0.0016,0.0399699857390017
"635",0,0
"636",0,0
"637",0.0147,0.120355135062255
"638",0,0
"639",0,0
"640",0.0097,0.0980146452682899
"641",0,0
"642",0,0
"643",0.0089,0.0939237572034718
"644",0,0
"645",0,0
"646",0.01,0.0995037190209989
"647",1e-04,0.01
"648",0,0
"649",0.0055,0.0739614563790017
"650",0,0
"651",0,0
"652",0.0051,0.0712355069452375
"653",0,0
"654",0,0
"655",0.0042,0.0646744020291474
"656",0,0
"657",0,0
"658",0.0048,0.0691190114496321
"659",0,0
"660",0,0
"661",0.0065,0.0803641452364421
"662",0,0
"663",0,0
"664",0.0105,0.101935220012064
"665",0,0
"666",0,0
"667",0,0
"668",0,0
"669",0,0
"670",0,0
"671",0,0
"672",0,0
"673",0,0
"674",0,0
"675",0,0
"676",0,0
"677",0,0
"678",0,0
"679",0,0
"680",0,0
"681",0,0
"682",0,0
"683",0,0
"684",0,0
"685",0,0
"686",0,0
"687",0,0
"688",0.0342,0.181751652994785
"689",0.0116,0.107082149113033
"690",0,0
"691",0.0289,0.167533867500503
"692",0.0104,0.101453779066769
"693",0,0
"694",0.0413,0.198993140150566
"695",0.019,0.136531549783955
"696",0,0
"697",0.0129,0.112848852392697
"698",0.0343,0.182007754456419
"699",0,0
"700",0.0149,0.121158812910141
"701",0.0477,0.21314139186299
"702",0,0
"703",0.0149,0.121158812910141
"704",0.0525,0.223044221786818
"705",0,0
"706",0.0201,0.140349420362108
"707",0.0522,0.222441246199533
"708",0,0
"709",0.0156,0.123928107455822
"710",0.0483,0.214410137751733
"711",0,0
"712",0.015,0.121558535890182
"713",0.0446,0.206434254691781
"714",0,0
"715",0.0116,0.107082149113033
"716",0.0303,0.171420093585462
"717",0,0
"718",0,0
"719",0,0
"720",0,0
"721",0,0
"722",0,0
"723",0,0
"724",0,0
"725",0,0
"726",0,0
"727",0,0
"728",0,0
"729",0,0
"730",0,0
"731",0,0
"732",0,0
"733",0,0
"734",0,0
"735",0,0
"736",0,0
"737",0,0
"738",0,0
"739",0,0
"740",0,0
"741",0,0
"742",0,0
"743",0,0
"744",0,0
"745",0,0
"746",0,0
"747",0,0
"748",0,0
"749",0,0
"750",0,0
"751",0,0
"752",0,0
"753",0,0
"754",0,0
"755",0,0
"756",0,0
"757",0,0
"758",0,0
"759",0,0
"760",0,0
"761",0,0
"762",0,0
"763",0,0
"764",0,0
"765",0,0
"766",0,0
"767",0,0
"768",0,0
"769",0,0
"770",0,0
"771",0,0
"772",0,0
"773",0,0
"774",0,0
"775",0.0048,0.0691190114496321
"776",0,0
"777",0,0
"778",0.0042,0.0646744020291474
"779",0,0
"780",0,0
"781",0.0048,0.0691190114496321
"782",0,0
"783",0,0
"784",1e-04,0.01
"785",0,0
"786",0,0
"787",0,0
"788",0,0
"789",0,0
"790",0,0
"791",0,0
"792",0,0
"793",0,0
"794",0,0
"795",0,0
"796",0,0
"797",0,0
"798",0,0
"799",0,0
"800",0,0
"801",0,0
"802",0,0
"803",0,0
"804",0,0
"805",0,0
"806",0,0
"807",0,0
"808",0,0
"809",0,0
"810",0,0
"811",0,0
"812",0,0
"813",0,0
"814",0,0
"815",0,0
"816",0,0
"817",0,0
"818",0,0
"819",0,0
"820",0,0
"821",0,0
"822",0,0
"823",0,0
"824",0,0
"825",0,0
"826",0,0
"827",0,0
"828",0,0
"829",0,0
"830",0,0
"831",0,0
"832",0.0059,0.0765883579772916
"833",0,0
"834",0,0
"835",0.0053,0.0726115503465142
"836",0,0
"837",0,0
"838",0.0062,0.0784995300471395
"839",0,0
"840",0,0
"841",0.0047,0.0683986683918903
"842",0,0
"843",0,0
"844",0.0064,0.0797475765625311
"845",0,0
"846",0,0
"847",0.0043,0.0654365203370364
"848",0,0
"849",0,0
"850",0.0034,0.0582132190991684
"851",0,0
"852",0,0
"853",0.0043,0.0654365203370364
"854",0,0
"855",0,0
"856",0.0036,0.0598948974443899
"857",0,0
"858",0,0
"859",0.0045,0.0669342813497088
"860",0,0
"861",0,0
"862",0.0035,0.0590601287662073
"863",0,0
"864",0,0
"865",0.0057,0.0752866310023285
"866",0,0
"867",0,0
"868",2e-04,0.0141414284285499
"869",0,0
"870",0,0
"871",2e-04,0.0141414284285499
"872",0,0
"873",0,0
"874",2e-04,0.0141414284285499
"875",0,0
"876",0,0
"877",0,0
"878",0,0
"879",0,0
"880",0.0012,0.0346219564436616
"881",0,0
"882",0,0
"883",0.0015,0.038702710369934
"884",0,0
"885",0,0
"886",0,0
"887",0,0
"888",0,0
"889",0.0113,0.105704433883987
"890",0,0
"891",0,0
"892",0.0168,0.128527864454344
"893",0,0
"894",0,0
"895",0.0178,0.132230512707352
"896",0,0
"897",0,0
"898",0.0014,0.037392242751429
"899",0,0
"900",0,0
"901",0.003,0.0546927703623888
"902",0,0
"903",0,0
"904",0.0019,0.0435497377485307
"905",0,0
"906",0,0
"907",0.001,0.0316085417251571
"908",0,0
"909",0,0
"910",0.0022,0.0468548774190457
"911",0,0
"912",0,0
"913",0.0065,0.0803641452364421
"914",0,0
"915",0,0
"916",0.009,0.094445179809236
"917",0,0
"918",0,0
"919",6e-04,0.024488772325231
"920",0,0
"921",0,0
"922",9e-04,0.0299879963984391
"923",0,0
"924",0,0
"925",0.0019,0.0435497377485307
"926",0,0
"927",0,0
"928",0.0012,0.0346219564436616
"929",0,0
"930",0,0
"931",0.0029,0.0537761953648526
"932",0,0
"933",0,0
"934",0.0014,0.037392242751429
"935",0,0
"936",0,0
"937",0.0015,0.038702710369934
"938",0,0
"939",0,0
"940",0.0019,0.0435497377485307
"941",0,0
"942",0,0
"943",0,0
"944",0,0
"945",0,0
"946",0,0
"947",0,0
"948",0,0
"949",0,0
"950",0,0
"951",0,0
"952",0,0
"953",0,0
"954",0,0
"955",0,0
"956",0,0
"957",0,0
"958",0,0
"959",0,0
"960",0,0
"961",0,0
"962",0,0
"963",0,0
"964",1e-04,0.01
"965",0,0
"966",0,0
"967",2e-04,0.0141414284285499
"968",0,0
"969",0,0
"970",0,0
"971",0,0
"972",0,0
"973",0,0
"974",0,0
"975",0,0
"976",1e-04,0.01
"977",0,0
"978",0,0
"979",0,0
"980",0,0
"981",0,0
"982",1e-04,0.01
"983",0,0
"984",0,0
"985",1e-04,0.01
"986",0,0
"987",0,0
"988",0.0019,0.0435497377485307
"989",0,0
"990",0,0
"991",0.0011,0.0331496589724389
"992",0,0
"993",0,0
"994",0.0015,0.038702710369934
"995",0,0
"996",0,0
"997",0.0011,0.0331496589724389
"998",0,0
"999",0,0
"1000",0.0012,0.0346219564436616
"1001",0,0
"1002",0,0
"1003",0.0012,0.0346219564436616
"1004",0,0
"1005",0,0
"1006",7e-04,0.0264495738717243
"1007",0,0
"1008",0,0
"1009",0.0015,0.038702710369934
"1010",0,0
"1011",0,0
"1012",0.0012,0.0346219564436616
"1013",0,0
"1014",0,0
"1015",0.0018,0.0423903254760965
"1016",0,0
"1017",0,0
"1018",0.0012,0.0346219564436616
"1019",0,0
"1020",0,0
"1021",0.0014,0.037392242751429
"1022",0,0
"1023",0,0
"1024",0.0011,0.0331496589724389
"1025",0,0
"1026",0,0
"1027",0.0014,0.0373922427514291
"1028",0,0
"1029",0,0
"1030",0.0025,0.049939957948921
"1031",0,0
"1032",0,0
"1033",0.0024,0.0489334185188895
"1034",0,0
"1035",0,0
"1036",2e-04,0.0141414284285499
"1037",0,0
"1038",0,0
"1039",5e-04,0.022356206744392
"1040",0,0
"1041",0,0
"1042",0.005,0.0705372068468477
"1043",0,0
"1044",0,0
"1045",0.0023,0.0479055267578741
"1046",0,0
"1047",0,0
"1048",0.0052,0.0719268889062691
"1049",0,0
"1050",0,0
"1051",0.0062,0.0784995300471395
"1052",0,0
"1053",0,0
"1054",0.0062,0.0784995300471395
"1055",0,0
"1056",0,0
"1057",0.0095,0.0970087164594342
"1058",0,0
"1059",0,0
"1060",0.0035,0.0590601287662073
"1061",0,0
"1062",0,0
"1063",0,0
"1064",0,0
"1065",0,0
"1066",1e-04,0.01
"1067",0,0
"1068",0,0
"1069",1e-04,0.01
"1070",0,0
"1071",0,0
"1072",0,0
"1073",0,0
"1074",0,0
"1075",0.0038,0.0615299812600279
"1076",0,0
"1077",0,0
"1078",0.0045,0.0669342813497088
"1079",0,0
"1080",0,0
"1081",0.0034,0.0582132190991684
"1082",0,0
"1083",0,0
"1084",0.0041,0.0639030387371053
"1085",0,0
"1086",0,0
"1087",0.0039,0.0623312001958232
"1088",0,0
"1089",0,0
"1090",0.0032,0.0564807844129381
"1091",0,0
"1092",0,0
"1093",0.0196,0.138628142078647
"1094",0.0538,0.225633887226867
"1095",0.0948,0.292953139860653
"1096",0.0194,0.137933108984955
"1097",0.0445,0.206213487435328
"1098",0.0797,0.270841735197056
"1099",0.016,0.125481371356292
"1100",0.041,0.19830010663948
"1101",0.0635,0.243872297257677
"1102",0.0261,0.159440685313421
"1103",0.0694,0.254145822334149
"1104",0.1116,0.314889433826468
"1105",0.0114,0.106165753031341
"1106",0.0258,0.158546124794549
"1107",0.0431,0.203092379599691
"1108",0.0121,0.109337941623884
"1109",0.026,0.159143120031201
"1110",0.0475,0.212716418800907
"1111",0.016,0.125481371356292
"1112",0.0471,0.211863348901741
"1113",0.0017,0.0411980549052112
"1114",0.0227,0.148952773364141
"1115",0.0699,0.254991160727593
"1116",0.0023,0.0479055267578741
"1117",0.0013,0.0360338707882514
"1118",0,0
"1119",0,0
"1120",0.0017,0.0411980549052112
"1121",0,0
"1122",0,0
"1123",3e-04,0.0173187757650303
"1124",0,0
"1125",0,0
"1126",0.0017,0.0411980549052112
"1127",0,0
"1128",0,0
"1129",9e-04,0.0299879963984391
"1130",0,0
"1131",0,0
"1132",0.0011,0.0331496589724389
"1133",0,0
"1134",0,0
"1135",0.001,0.0316085417251571
"1136",0,0
"1137",0,0
"1138",0.0014,0.037392242751429
"1139",0,0
"1140",0,0
"1141",0.0012,0.0346219564436616
"1142",0,0
"1143",0,0
"1144",0.0017,0.0411980549052112
"1145",0,0
"1146",0,0
"1147",0.0018,0.0423903254760965
"1148",0,0
"1149",0,0
"1150",1e-04,0.01
"1151",0,0
"1152",0,0
"1153",5e-04,0.022356206744392
"1154",0,0
"1155",0,0
"1156",2e-04,0.0141414284285499
"1157",0,0
"1158",0,0
"1159",5e-04,0.022356206744392
"1160",0,0
"1161",0,0
"1162",2e-04,0.0141414284285499
"1163",0,0
"1164",0,0
"1165",1e-04,0.01
"1166",0,0
"1167",0,0
"1168",0,0
"1169",0,0
"1170",0,0
"1171",3e-04,0.0173187757650303
"1172",0,0
"1173",0,0
"1174",2e-04,0.0141414284285499
"1175",0,0
"1176",0,0
"1177",0.0484,0.214620703112772
"1178",0.1509,0.357969278291336
"1179",0.215,0.410842888690943
"1180",0.0532,0.224443305713822
"1181",0.1484,0.355513823933614
"1182",0.2183,0.413112788736468
"1183",0.0334,0.179687697872939
"1184",0.0818,0.274073478518376
"1185",0.1307,0.337088820472125
"1186",0.0377,0.190479233077581
"1187",0.0902,0.286482402979174
"1188",0.1346,0.341312890833243
"1189",0,0
"1190",0,0
"1191",0,0
"1192",0,0
"1193",0,0
"1194",0,0
"1195",0,0
"1196",0,0
"1197",0,0
"1198",0,0
"1199",0,0
"1200",0,0
"1201",0,0
"1202",0,0
"1203",0,0
"1204",0,0
"1205",0,0
"1206",0,0
"1207",0,0
"1208",0,0
"1209",0,0
"1210",0,0
"1211",0,0
"1212",0,0
"1213",0,0
"1214",0,0
"1215",0,0
"1216",0,0
"1217",0,0
"1218",0,0
"1219",0,0
"1220",0,0
"1221",0,0
"1222",0,0
"1223",0,0
"1224",0,0
"1225",0.01,0.0995037190209989
"1226",0.0012,0.0346219564436616
"1227",0,0
"1228",0.01,0.0995037190209989
"1229",0.002,0.044678849805719
"1230",0,0
"1231",0.0096,0.0975130292785939
"1232",0.0017,0.0411980549052112
"1233",0,0
"1234",0.0091,0.0949636341405536
"1235",0.0022,0.0468548774190457
"1236",0,0
"1237",0.0117,0.107537279241399
"1238",0.0016,0.0399699857390017
"1239",0,0
"1240",0,0
"1241",0,0
"1242",0,0
"1243",0.0064,0.0797475765625311
"1244",0.0011,0.0331496589724389
"1245",0,0
"1246",0.008,0.0890886843508643
"1247",0.0017,0.0411980549052112
"1248",0,0
"1249",0.0167,0.128151286670199
"1250",0.0038,0.0615299812600279
"1251",0,0
"1252",0.0094,0.0965016645303371
"1253",0.0017,0.0411980549052112
"1254",0,0
"1255",0.0099,0.0990099504950371
"1256",0.0022,0.0468548774190457
"1257",0,0
"1258",0.0129,0.112848852392697
"1259",0.0345,0.1825187149531
"1260",0.0216,0.145380719338417
"1261",0.0233,0.150862142164938
"1262",0.078,0.268184996446915
"1263",0.0494,0.216712566395314
"1264",0.0177,0.13186526777315
"1265",0.0542,0.226423246926359
"1266",0.0301,0.170871032334241
"1267",0.0179,0.13259467611791
"1268",0.0665,0.249166527438658
"1269",0.044,0.205105355416874
"1270",0.0229,0.14959220495326
"1271",0.0688,0.253126386014437
"1272",0.0411,0.198531436989579
"1273",0.021,0.143391269279585
"1274",0.0618,0.240803983887031
"1275",0.0398,0.195498803009629
"1276",0.0166,0.127773520759431
"1277",0.0523,0.222642464428277
"1278",0.0295,0.169211740908621
"1279",0.0415,0.199453573978551
"1280",0.1779,0.382447665206185
"1281",0,0
"1282",0.1853,0.388560172818561
"1283",0.5711,0.494943720971074
"1284",1e-04,0.01
"1285",0.0289,0.167533867500503
"1286",0.0928,0.290166468872552
"1287",0,0
"1288",0.0303,0.171420093585462
"1289",0.1041,0.30540549643339
"1290",0,0
"1291",0.0763,0.265490788043302
"1292",0.2831,0.450527121790405
"1293",0,0
"1294",0.0021,0.0457799036691647
"1295",0,0
"1296",0,0
"1297",0.002,0.044678849805719
"1298",0,0
"1299",0,0
"1300",6e-04,0.024488772325231
"1301",0,0
"1302",0,0
"1303",8e-04,0.0282743690291119
"1304",0,0
"1305",0,0
"1306",0.0012,0.0346219564436616
"1307",0,0
"1308",0,0
"1309",0.0018,0.0423903254760965
"1310",0,0
"1311",0,0
"1312",0.001,0.0316085417251571
"1313",0,0
"1314",0,0
"1315",5e-04,0.022356206744392
"1316",0,0
"1317",0,0
"1318",7e-04,0.0264495738717243
"1319",0,0
"1320",0,0
"1321",5e-04,0.022356206744392
"1322",0,0
"1323",0,0
"1324",0.0026,0.0509264111236497
"1325",0,0
"1326",0,0
